bid,use1_gf,use2_gf,steps_lb,steps_ub,f0_tag,f0_cap,f0_elv,f0_scale,f1_tag,f1_cap,f1_elv,f1_scale,f2_tag,f2_cap,f2_elv,f2_scale,f5_tag,f5_cap,f5_elv,f5_scale
2718000,nrp,comy,0.6,2.7,IBI2020_mf_struc_nrp,231000.0,0.2,290.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,290.0,IBI2020_cel_struc_bsmt,116000.0,-2.5,290.0,,,,
2715000,nrp,office,-0.3,1.7,IBI2020_mf_struc_nrp-office-s0,416000.0,0.1,740.0,okNRP_mf_cont_nrp-office,1000000.0,0.1,740.0,IBI2020_cel_struc_bsmt,208000.0,-2.6,740.0,IBI2020_gen_struc_nrp-office-3,208000.0,0.1,740.0
2716000,nrp,comy,0.5,2.7,IBI2020_mf_struc_nrp,10000.0,0.2,330.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,330.0,IBI2020_cel_struc_bsmt,10000.0,-2.5,330.0,,,,
2713000,resi,sfd,1.6,3.8,IBI2020_mf_struc_resi-sfd-std,62000.0,0.4,140.0,IBI2017_mf_cont_resi,1000000.0,0.4,140.0,IBI2020_cel_struc_bsmt,31000.0,-2.3,140.0,IBI2020_gen_struc_resi-sfd-std,31000.0,0.4,140.0
2714000,resi,sfd,1.6,3.8,IBI2020_mf_struc_resi-sfd-std,96000.0,0.4,140.0,IBI2017_mf_cont_resi,1000000.0,0.4,140.0,IBI2020_cel_struc_crwl,48000.0,-2.3,140.0,IBI2020_gen_struc_resi-sfd-std,48000.0,0.4,140.0
2741000,resi,sfd,1.7,3.9,IBI2020_mf_struc_resi-sfd-std,10000.0,0.4,50.0,IBI2017_mf_cont_resi,1000000.0,0.4,50.0,IBI2020_cel_struc_bsmt,10000.0,-2.3,50.0,IBI2020_gen_struc_resi-sfd-std,1000.0,0.4,50.0
2742000,resi,sfd,1.6,3.8,IBI2020_mf_struc_resi-sfd-std,10000.0,0.4,170.0,IBI2017_mf_cont_resi,1000000.0,0.4,170.0,IBI2020_cel_struc_bsmt,10000.0,-2.3,170.0,IBI2020_gen_struc_resi-sfd-std,1000.0,0.4,170.0
2739001,nrp,comy,0.4,2.5,IBI2020_mf_struc_nrp,371000.0,0.2,600.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,600.0,IBI2020_cel_struc_bsmt,186000.0,-2.5,600.0,,,,
2740000,nrp,comy,-1.0,1.0,IBI2020_mf_struc_nrp,371000.0,0.0,150.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,150.0,IBI2020_cel_struc_bsmt,186000.0,-2.7,150.0,,,,
2738000,nrp,comy,0.5,2.7,IBI2020_mf_struc_nrp,371000.0,0.2,300.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,300.0,IBI2020_cel_struc_bsmt,186000.0,-2.5,300.0,,,,
2739000,nrp,comy,-1.0,1.0,IBI2020_mf_struc_nrp,371000.0,0.0,1310.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,1310.0,IBI2020_cel_struc_bsmt,186000.0,-2.7,1310.0,,,,
2736000,nrp,comy,0.6,2.7,IBI2020_mf_struc_nrp,371000.0,0.2,300.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,300.0,IBI2020_cel_struc_bsmt,186000.0,-2.5,300.0,,,,
2737000,nrp,comy,0.5,2.7,IBI2020_mf_struc_nrp,371000.0,0.2,300.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,300.0,IBI2020_cel_struc_bsmt,186000.0,-2.5,300.0,,,,
2734000,resi,sfd,1.0,2.0,IBI2020_mf_struc_resi-sfd-std,153000.0,0.2,120.0,IBI2017_mf_cont_resi,1000000.0,0.2,120.0,IBI2020_cel_struc_crwl,76000.0,-2.5,120.0,IBI2020_gen_struc_resi-sfd-std,76000.0,0.2,120.0
2735000,nrp,comy,0.6,2.7,IBI2020_mf_struc_nrp,371000.0,0.2,290.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,290.0,IBI2020_cel_struc_bsmt,186000.0,-2.5,290.0,,,,
2733000,nrp,comy,0.6,2.8,IBI2020_mf_struc_nrp,89000.0,0.3,160.0,okNRP_mf_cont_nrp-6x,1000000.0,0.3,160.0,IBI2020_cel_struc_bsmt,45000.0,-2.4,160.0,,,,
2687001,resi,sfd,0.9,2.9,IBI2020_mf_struc_resi-sfd-std,181000.0,0.3,170.0,IBI2017_mf_cont_resi,1000000.0,0.3,170.0,IBI2020_cel_struc_crwl,90000.0,-2.4,170.0,IBI2020_gen_struc_resi-sfd-std,90000.0,0.3,170.0
2731000,nrp,comy,3.0,6.0,IBI2020_mf_struc_nrp,89000.0,0.7,230.0,okNRP_mf_cont_nrp-6x,1000000.0,0.7,230.0,IBI2020_cel_struc_bsmt,45000.0,-2.0,230.0,,,,
