bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
293000,,0.0,0.0,0.0,0.0,,0.0
295000,,0.0,0.0,0.0,0.0,,0.0
297000,0.0,0.0,0.0,0.59,0.59,0.59,0.004
298000,0.0,0.0,0.84,0.84,0.84,0.84,0.025
302001,,0.0,0.0,0.0,0.0,,0.0
303000,,0.0,0.0,0.0,0.0,,0.0
303001,,0.0,0.0,0.0,0.0,,0.0
304001,0.0,0.0,0.62,0.62,0.62,0.62,0.019
305000,,0.0,0.0,0.0,0.0,,0.0
308000,,0.0,0.0,0.0,0.0,,0.0
309000,,0.0,0.0,0.0,0.0,,0.0
309001,,0.0,0.0,0.0,0.0,,0.0
311000,,0.0,0.0,0.0,0.0,,0.0
314000,,0.0,0.0,0.0,0.0,,0.0
316000,,0.0,0.0,0.0,0.0,,0.0
317000,0.0,0.0,11.87,11.87,11.87,11.87,0.356
319000,,0.0,0.0,0.0,0.0,,0.0
319001,,0.0,0.0,0.0,0.0,,0.0
340000,,0.0,0.0,0.0,0.0,,0.0
344001,,0.0,0.0,0.0,0.0,,0.0
346000,,0.0,0.0,0.0,0.0,,0.0
346001,,0.0,0.0,0.0,0.0,,0.0
356000,0.0,0.0,0.49,0.49,0.49,0.49,0.015
356001,,0.0,0.0,0.0,0.0,,0.0
356002,,0.0,0.0,0.0,0.0,,0.0
356003,,0.0,0.0,0.0,0.0,,0.0
356004,,0.0,0.0,0.0,0.0,,0.0
356005,,0.0,0.0,0.0,0.0,,0.0
356006,,0.0,0.0,0.0,0.0,,0.0
356007,,0.0,0.0,0.0,0.0,,0.0
356008,,0.0,0.0,0.0,0.0,,0.0
356009,,0.0,0.0,0.0,0.0,,0.0
356010,,0.0,0.0,0.0,0.0,,0.0
356011,0.0,0.0,0.0,0.49,0.49,0.49,0.004
356012,,0.0,0.0,0.0,0.0,,0.0
356013,,0.0,0.0,0.0,0.0,,0.0
356014,,0.0,0.0,0.0,0.0,,0.0
356015,,0.0,0.0,0.0,0.0,,0.0
356016,,0.0,0.0,0.0,0.0,,0.0
