bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
13669001,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13675000,5907041,59070208,resi,mf,4,mf,0.859982639,3.439930556,0.92,0.1,3.16
13677000,5907041,59070216,resi,sfd,6,sfd4,2.9,2.9,0.88,0.1,2.55
13651002,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651003,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651004,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13678000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13651005,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13679000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
2489001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13680000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13651006,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13682000,5907041,59070214,resi,mf,16,mf,0.859982639,13.75972222,0.8,0.1,11.01
13651007,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13683001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13684000,5907041,59070212,resi,sfd,4,sfd4,2.9,2.9,0.91,0.1,2.64
13651008,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
2445001,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13681001,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13651009,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651010,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
