bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
254110,0.0,54390.0,60431.733,60910.933,62902.8,64230.711,6991.895
254111,,0.0,0.0,0.0,0.0,,0.0
254115,0.0,12000.0,16440.0,30300.0,33960.0,36400.0,1752.4
254121,0.0,5200.0,5200.0,5200.0,5200.0,5200.0,650.0
254124,0.0,168000.0,168000.0,590594.58,904054.943,1113028.518,25475.544
254132,0.0,6500.0,6500.0,6500.0,6500.0,6500.0,812.5
254134,0.0,67622.5,75439.833,76038.833,78578.75,80272.028,8702.408
254135,0.0,44805.6,47042.775,47221.875,47595.0,47843.75,5670.713
254137,0.0,48544.0,51354.875,51653.375,52308.417,52745.112,6157.294
254140,0.0,5200.0,5200.0,39693.4,50098.0,57034.4,952.053
254143,0.0,60660.0,60660.0,60660.0,60660.0,60660.0,7582.5
254144,0.0,23485.2,26138.05,26392.05,27566.15,28348.883,3022.033
254147,,0.0,0.0,0.0,0.0,,0.0
254148,,0.0,0.0,0.0,0.0,,0.0
254151,0.0,9100.0,9100.0,9100.0,9100.0,9100.0,1137.5
254160,,0.0,0.0,0.0,0.0,,0.0
254161,,0.0,0.0,0.0,0.0,,0.0
254162,0.0,6500.0,6500.0,6500.0,6500.0,6500.0,812.5
254163,,0.0,0.0,0.0,0.0,,0.0
254168,,0.0,0.0,0.0,0.0,,0.0
254170,,0.0,0.0,0.0,0.0,,0.0
254174,0.0,22100.0,22100.0,22100.0,22100.0,22100.0,2762.5
254176,0.0,3900.0,3900.0,12793.35,37816.5,54498.6,658.463
254178,,0.0,0.0,0.0,0.0,,0.0
254179,0.0,14300.0,14300.0,14300.0,14300.0,14300.0,1787.5
254180,0.0,5200.0,5200.0,5200.0,5200.0,5200.0,650.0
254184,0.0,0.0,32391.75,34880.0,40552.0,44333.333,1014.048
254189,0.0,0.0,5200.0,5200.0,5200.0,5200.0,156.0
254190,0.0,6500.0,6500.0,6500.0,6500.0,6500.0,812.5
254191,0.0,0.0,0.0,3900.0,3900.0,3900.0,29.25
254192,0.0,9100.0,9100.0,9100.0,9100.0,9100.0,1137.5
254193,0.0,7800.0,7800.0,7800.0,72427.4,115512.333,1244.281
254195,0.0,3900.0,3900.0,3900.0,33738.825,53631.375,611.828
254202,,0.0,0.0,0.0,0.0,,0.0
254204,,0.0,0.0,0.0,0.0,,0.0
254205,0.0,0.0,0.0,0.0,10308.2,17180.333,42.951
254206,0.0,0.0,0.0,0.0,44506.35,74177.25,185.443
254207,0.0,0.0,0.0,0.0,2577.05,4295.083,10.738
254213,,0.0,0.0,0.0,0.0,,0.0
254214,,0.0,0.0,0.0,0.0,,0.0
254215,,0.0,0.0,0.0,0.0,,0.0
254216,,0.0,0.0,0.0,0.0,,0.0
254217,,0.0,0.0,0.0,0.0,,0.0
254218,,0.0,0.0,0.0,0.0,,0.0
254219,,0.0,0.0,0.0,0.0,,0.0
254220,,0.0,0.0,0.0,0.0,,0.0
